epoch,phase,loss,accuracy,macro_f1
0,train,1.5522594436032002,0.4715186705375913,0.0915514174919576
0,val,1.6467043753676418,0.4238052299368801,0.0850447842214783
0,test,1.514849660588407,0.4812260536398467,0.0928238858916562
1,train,1.4993342194713288,0.4828311142256482,0.1203330622370739
1,val,1.5385355807511627,0.4328223624887286,0.1091028339586955
1,test,1.4489628225450772,0.4896551724137931,0.1192212543140162
2,train,1.4701956054901548,0.48843728100911,0.197136561102202
2,val,1.516404532870266,0.436429215509468,0.1788958921237044
2,test,1.4298471706580385,0.5015325670498084,0.2032753642437247
3,train,1.4526390676706542,0.5086595254780258,0.1935681836149473
3,val,1.5148704131515958,0.4589720468890892,0.1805249186935833
3,test,1.4279790315591512,0.5176245210727969,0.1976964051751998
4,train,1.443143005705963,0.5015517068775653,0.1627524537529809
4,val,1.4989870912433207,0.4508566275924256,0.1505141587733809
4,test,1.3993504747120358,0.5061302681992337,0.1631395178975008
5,train,1.4334395936461752,0.5163680048052858,0.1913611486205165
5,val,1.459504007970674,0.4580703336339044,0.1740673277786154
5,test,1.3708386724479351,0.5172413793103449,0.1904091584691608
6,train,1.4168474915292792,0.513965361898088,0.1860548401329537
6,val,1.4646056607782143,0.4517583408476104,0.1654669503253539
6,test,1.3783020260690273,0.5168582375478927,0.1845629614090574
7,train,1.4142170613121612,0.5199719691660827,0.2045505026988648
7,val,1.4372843354537317,0.4625788999098287,0.1890953563261874
7,test,1.370575101713568,0.5210727969348659,0.2042845804652267
8,train,1.405847814798188,0.518470317349084,0.2055263696187712
8,val,1.455525903039628,0.4517583408476104,0.1825876420534843
8,test,1.3758836709676574,0.5210727969348659,0.2052251736678813
9,train,1.4024328399568555,0.517268995895485,0.1958088764640787
9,val,1.459451244584712,0.4625788999098287,0.1812234632806461
9,test,1.367541199899725,0.5222222222222223,0.2005819800104929
10,train,1.4029774867219722,0.5135649214135549,0.1872118675415596
10,val,1.4649468465793014,0.4526600541027953,0.1635698855713918
10,test,1.3751189235526484,0.5099616858237548,0.1725156245627838
11,train,1.3783552720866794,0.5273801181299429,0.2268146545267486
11,val,1.4547945784490532,0.4427412082957619,0.1871582286760858
11,test,1.3741315680902122,0.518007662835249,0.2177040499672696
12,train,1.3912401137701418,0.5242767043748123,0.2189186651846155
12,val,1.485612160671499,0.4490532010820559,0.1880084742860147
12,test,1.400387350352788,0.5160919540229885,0.2117388512819931
13,train,1.3794041134082158,0.5324857343077385,0.2322486884933483
13,val,1.4548788406055613,0.4499549143372408,0.1875144476526741
13,test,1.3608480972348502,0.5183908045977011,0.214339451536217
14,train,1.369909884007393,0.5311843027330063,0.2197804823001042
14,val,1.5040773395163396,0.4526600541027953,0.1754805567432843
14,test,1.4203225767932175,0.5164750957854406,0.1948186932960255
15,train,1.3536629832200262,0.5213735108619482,0.1965700593927266
15,val,1.4788209375118329,0.4571686203787196,0.1655724871462397
15,test,1.3922848822056562,0.5134099616858238,0.1749879767052775
16,train,1.3519719491994038,0.5372910201221344,0.2581427579251895
16,val,1.4759257740540157,0.4472497745716862,0.1984734999866566
16,test,1.3867091496785482,0.5118773946360153,0.2160654887311465
17,train,1.330749557181538,0.5394934427870658,0.2420509575228189
17,val,1.5042240101545108,0.4526600541027953,0.1830508840848738
17,test,1.4255682824671954,0.5126436781609195,0.1965085469495424
18,train,1.3195830129004178,0.5642206427069777,0.3232056215227348
18,val,1.4789733817923487,0.4499549143372408,0.197408778445221
18,test,1.4095815161635592,0.506896551724138,0.2189909844349478
19,train,1.2985153063805042,0.5662228451296426,0.3268830610283696
19,val,1.512494473332645,0.4517583408476104,0.1870623491820442
19,test,1.4290934084018985,0.5130268199233716,0.21225536194171116
